시간,종목명,종목코드,현재가,5이평,20이평,RSI,현재거래량,20봉평균거래량,판단
2026-03-24 21:58:22,NAVER,035420.KS,213000.0,213200.0,213137.5,50.0,1217,671.05,매수 후보
2026-03-24 22:06:01,NAVER,035420.KS,213000.0,213200.0,213137.5,50.0,1217,671.05,매수 후보
2026-03-24 22:06:12,NAVER,035420.KS,213000.0,213200.0,213137.5,50.0,1217,671.05,매수 후보
2026-03-24 22:38:49,삼성전자,005930.KS,189500.0,189520.0,189535.0,47.92,31626,45524.95,"관망 - 단기 추세 약함, 거래량 부족"
2026-03-24 22:38:49,SK하이닉스,000660.KS,983000.0,983200.0,982450.0,50.0,4249,7329.1,관망 - 거래량 부족
2026-03-24 22:38:50,NAVER,035420.KS,213000.0,213200.0,213137.5,50.0,1217,671.05,매수 후보
2026-03-24 22:38:50,카카오,035720.KS,48200.0,48160.0,48057.5,70.0,1841,2512.55,"관망 - 과열 구간, 거래량 부족"
2026-03-24 22:39:51,삼성전자,005930.KS,189500.0,189520.0,189535.0,47.92,31626,45524.95,"관망 - 단기 추세 약함, 거래량 부족"
2026-03-24 22:39:51,SK하이닉스,000660.KS,983000.0,983200.0,982450.0,50.0,4249,7329.1,관망 - 거래량 부족
2026-03-24 22:39:51,NAVER,035420.KS,213000.0,213200.0,213137.5,50.0,1217,671.05,매수 후보
2026-03-24 22:39:52,카카오,035720.KS,48200.0,48160.0,48057.5,70.0,1841,2512.55,"관망 - 과열 구간, 거래량 부족"
2026-03-24 22:40:52,삼성전자,005930.KS,189500.0,189520.0,189535.0,47.92,31626,45524.95,"관망 - 단기 추세 약함, 거래량 부족"
2026-03-24 22:40:53,SK하이닉스,000660.KS,983000.0,983200.0,982450.0,50.0,4249,7329.1,관망 - 거래량 부족
2026-03-24 22:40:53,NAVER,035420.KS,213000.0,213200.0,213137.5,50.0,1217,671.05,매수 후보
2026-03-24 22:40:53,카카오,035720.KS,48200.0,48160.0,48057.5,70.0,1841,2512.55,"관망 - 과열 구간, 거래량 부족"
2026-03-24 22:41:54,삼성전자,005930.KS,189500.0,189520.0,189535.0,47.92,31626,45524.95,"관망 - 단기 추세 약함, 거래량 부족"
2026-03-24 22:41:54,SK하이닉스,000660.KS,983000.0,983200.0,982450.0,50.0,4249,7329.1,관망 - 거래량 부족
2026-03-24 22:41:55,NAVER,035420.KS,213000.0,213200.0,213137.5,50.0,1217,671.05,매수 후보
2026-03-24 22:41:55,카카오,035720.KS,48200.0,48160.0,48057.5,70.0,1841,2512.55,"관망 - 과열 구간, 거래량 부족"
