시간,종목코드,종목명,진입가,신호,5분후가격,10분후가격,5분수익률(%),10분수익률(%),최대상승률(%),최대하락률(%),시뮬결과,시뮬수익률(%),상태,청산시간,청산가,청산사유,실현수익률(%)
2026-03-25 00:32:22,035420.KS,NAVER,213000.0,매수 후보,213000.0,211000.0,0.0,-0.94,2.35,-0.94,익절,0.3,,,,,
2026-03-25 00:33:24,035420.KS,NAVER,213000.0,매수 후보,213000.0,211000.0,0.0,-0.94,2.35,-0.94,익절,0.3,,,,,
2026-03-25 00:37:07,035420.KS,NAVER,213000.0,매수 후보,211000.0,211000.0,-0.94,-0.94,2.35,-0.94,익절,0.3,,,,,
2026-03-25 00:39:57,035420.KS,NAVER,213000.0,매수 후보,211000.0,211000.0,-0.94,-0.94,2.35,-0.94,익절,0.3,,,,,
2026-03-25 00:44:06,035420.KS,NAVER,213000.0,매수 후보,211000.0,211000.0,-0.94,-0.94,2.35,-0.94,익절,0.3,,,,,
2026-03-25 00:46:35,035420.KS,NAVER,213000.0,매수 후보,211000.0,211000.0,-0.94,-0.94,2.35,-0.94,익절,0.3,,,,,
2026-03-26 21:43:21,152550.KS,한국ANKOR유전,308.0,매수 후보,,,,,,,,,,,,,
2026-03-26 21:43:22,027360.KS,아주IB투자,8920.0,매수 후보,,,,,,,,,,,,,
2026-03-26 21:43:23,038110.KS,에코플라스틱,4230.0,매수 후보,,,,,,,,,,,,,
2026-03-26 21:43:25,017900.KS,광전자,3175.0,매수 후보,,,,,,,,,,,,,
2026-03-26 21:43:25,049080.KS,기가레인,830.0,매수 후보,,,,,,,,,,,,,
2026-03-26 21:43:26,062970.KS,한국첨단소재,3190.0,매수 후보,,,,,,,,,,,,,
2026-03-26 21:43:26,051980.KS,중앙첨단소재,1630.0,매수 후보,,,,,,,,,,,,,
2026-03-26 21:43:27,108860.KS,셀바스AI,16750.0,매수 후보,,,,,,,,,,,,,
2026-03-26 21:43:28,100790.KS,미래에셋벤처투자,28250.0,매수 후보,,,,,,,,,,,,,
2026-03-26 21:43:28,069540.KS,빛과전자,3045.0,매수 후보,,,,,,,,,,,,,
2026-03-26 21:43:31,137940.KS,넥스트아이,240.0,매수 후보,,,,,,,,,,,,,
2026-03-26 21:43:32,010170.KS,대한광통신,9300.0,매수 후보,,,,,,,,,,,,,
2026-03-26 22:01:10,001510.KS,SK증권,2090.0,매수 후보,,,,,,,,,,,,,
2026-03-26 22:01:15,051980.KS,중앙첨단소재,1630.0,매수 후보,,,,,,,,,,,,,
2026-03-26 22:04:33,001510.KS,SK증권,2090.0,매수 후보,,,,,,,,,,,,,
2026-03-26 22:04:41,062970.KS,한국첨단소재,3190.0,매수 후보,,,,,,,,,,,,,
2026-03-26 22:04:42,051980.KS,중앙첨단소재,1630.0,매수 후보,,,,,,,,,,,,,
2026-03-26 22:44:00,062970.KS,한국첨단소재,3190.0,매수 후보,,,,,,,,,보유,,,,
2026-03-26 22:44:01,051980.KS,중앙첨단소재,1630.0,매수 후보,,,,,,,,,보유,,,,
2026-03-26 22:45:18,001510.KS,SK증권,2090.0,매수 후보,,,,,,,,,보유,,,,
